Key,Steps,Peak,Cardio,FatBurn,Mode,Minutes,Gender,Age,GPA,Life Score
262,13177,1.83,9.76,227.56,1,11.13,1,18,3.4,63
263,10025,0.88,5.97,173.72,0,18.25,1,18,3.53,84
264,7421,0.48,2.23,82.1,1,7.72,0,20,2.5,91
265,7739,0.08,1.22,30.83,1,6.95,0,19,2.3,49
266,12737,0.54,3.39,111.36,1,6.97,0,18,3.81,46
267,9848,0.5,3.85,85.92,1,11.28,1,18,2.53,53
268,13405,4.98,11.22,96.18,1,10.22,1,18,4,75
269,13145,1.05,6.37,259.14,1,13.95,1,19,3.79,80
270,12427,6.16,25.57,358.08,1,9,1,19,3.53,53
271,9440,1.52,7.57,207.13,1,13.2,1,19,3.43,55
272,10171,0.71,4.4,236.08,1,9.82,1,17,3.43,86
273,9022,0,1.33,175.33,1,15.33,1,19,2.23,79
274,13832,0.14,3.3,128.17,1,7.73,0,19,3,84
275,10431,1.42,6.26,231,1,10.27,1,19,2.5,71
276,13852,0.07,1.95,97.59,1,7.1,0,18,3.17,54
277,6036,0.41,3.09,133.19,1,12.42,1,18,2.97,73
278,12046,1.84,8.64,111.34,1,8.82,1,18,3.81,83
279,9075,1.85,5.43,130.84,1,9.17,1,18,3.64,81
280,4838,10.52,16.57,92.07,1,8.68,0,18,1.15,72
281,8981,1.69,4.46,84.51,1,9.22,1,19,2.87,94
282,10395,0.25,0.75,61.94,1,9.45,0,19,2.25,86
283,9297,1.2,10.49,104.28,1,11.23,1,18,4,101
284,10897,1.62,14.35,228.82,0,13.87,1,18,3.14,55
285,10140,0.16,1.42,50.26,1,6.98,0,19,3.66,87
286,10479,1.05,3.66,56.19,1,7.08,1,18,3.3,62
287,2508,0.07,0.7,12.06,1,5.8,0,18,3.21,78
288,8481,0.08,2.1,63.23,1,7.38,0,18,3,77
289,9792,86.65,134.2,212.94,1,5.68,0,19,3.28,53
290,6735,0.08,0.72,48.34,1,11.97,1,19,2.57,85
291,8638,0.19,0.68,54.26,1,8.13,0,19,3.64,69
