name,genre,type,rating,members
Anime Himitsu no Hanazono,"Drama, Historical, Kids, Shoujo",TV,7.11,2188
Azumanga Daioh: Gekijou Tanpen,"Comedy, School, Slice of Life",Special,7.11,28941
Binan Koukou Chikyuu Bouei-bu LOVE!,"Comedy, Magic, School, Slice of Life",TV,7.11,45873
Chibi Maruko-chan: Watashi no Suki na Uta,"Comedy, Slice of Life",Movie,7.11,401
Chihayafuru 2: Waga Mi Yo ni Furu Nagame Seshi Ma ni,"Comedy, Josei, Slice of Life",OVA,7.11,18659
Deltora Quest,"Adventure, Fantasy, Kids",TV,7.11,10591
Dr. Slump,"Comedy, Sci-Fi, Shounen, Slice of Life",TV,7.11,8735
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,"Action, Adventure, Comedy, Demons, Fantasy, Martial Arts, Shounen, Super Power",Movie,7.11,54947
Gatchaman Crowds Insight: Inbound,"Adventure, Sci-Fi",ONA,7.11,14786
Ghost in the Shell: Stand Alone Complex - The Laughing Man - Tachikoma no Hibi,"Comedy, Mecha, Sci-Fi",Special,7.11,3444
Gi(a)rlish Number,"Slice of Life",TV,7.11,35072
Gosick Recap,"Historical, Mystery, Shounen",Special,7.11,8792
Kawa no Hikari,"Adventure, Kids",Special,7.11,806
Koutetsushin Jeeg,"Mecha, Sci-Fi",TV,7.11,3627
Lu Shidai,"Action, Adventure, Comedy, Game, Parody",ONA,7.11,1762
Lupin III: Hemingway Paper no Nazo,"Action, Adventure, Comedy, Mystery, Shounen",Special,7.11,2819
Lupin III: Princess of the Breeze - Kakusareta Kuuchuu Toshi,"Action, Adventure, Comedy, Shounen",Special,7.11,2083
Mahou Sensei Negima!,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",TV,7.11,76253
Mahoujin Guru Guru Movie,"Adventure, Comedy, Fantasy, Magic, Shounen",Movie,7.11,826
Mashin Eiyuuden Wataru,"Adventure, Comedy, Mecha, Sci-Fi, Shounen",TV,7.11,956
Mermaid Melody Pichi Pichi Pitch,"Adventure, Comedy, Magic, Romance, Shoujo",TV,7.11,32296
Mudazumo Naki Kaikaku: The Legend of Koizumi,"Comedy, Game, Parody, Seinen",OVA,7.11,8682
Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,"Action, Comedy, Martial Arts, Shounen, Super Power",Movie,7.11,25174
Porphy no Nagai Tabi,"Drama, Historical, Kids, Slice of Life",TV,7.11,1335
Renkin San-kyuu Magical? Pokaan,"Comedy, Ecchi, Magic, Parody, Vampire",TV,7.11,17273
Rockman.EXE Beast+,"Action, Adventure, Game, Mecha, Sci-Fi, Shounen",TV,7.11,3224
Sekiranun Graffiti,"Music",Music,7.11,4014
Shinmai Maou no Testament,"Action, Demons, Ecchi, Fantasy, Harem, Romance",TV,7.11,172321
Sousei no Onmyouji,"Action, Fantasy, Shounen, Supernatural",TV,7.11,128869
Taiyou no Mokushiroku: A Spirit of the Sun,"Drama, Sci-Fi",Special,7.11,1433
Tezuka Osamu no Buddha: Akai Sabaku yo! Utsukushiku,"Drama, Historical, Military, Supernatural",Movie,7.11,4812
Tezuka Osamu no Buddha: Owarinaki Tabi,"Drama, Historical, Supernatural",Movie,7.11,1468
Toaru Majutsu no Index 10th Anniversary PV,"Action, Comedy, Magic, Sci-Fi, Super Power",Special,7.11,5052
Toaru Majutsu no Index-tan,"Comedy, Parody",Special,7.11,32949
Tongari Boushi no Memole,"Fantasy, Magic, Shoujo",TV,7.11,1009
Uchuu Senkan Yamato: Kanketsu-hen,"Action, Adventure, Drama, Military, Sci-Fi, Space",Movie,7.11,1609
UFO Princess Valkyrie 3: Seiresetsu no Hanayome,"Comedy, Magic, Romance, Sci-Fi",OVA,7.11,4764
Vassalord.,"Action, Comedy, Fantasy, Mystery, Shounen Ai, Supernatural, Vampire",OVA,7.11,15114
Chobits: Chibits,"Comedy, Romance",Special,7.10,35513
Code Geass: Hangyaku no Lelouch Picture Drama,"Comedy, School, Slice of Life",Special,7.10,33004
Densetsu Kyojin Ideon,"Drama, Mecha, Sci-Fi, Space",TV,7.10,5517
Digimon Savers,"Adventure, Comedy, Drama, Fantasy, Shounen",TV,7.10,41021
Digimon Tamers: Boukensha-tachi no Tatakai,"Adventure, Drama, Sci-Fi, Shounen",Movie,7.10,12676
Doraemon Meets Hattori the Ninja,"Comedy, Kids, Sci-Fi, Shounen",Special,7.10,729
El Hazard: The Wanderers,"Adventure, Comedy, Fantasy, Romance",TV,7.10,9289
Freezing Vibration,"Action, Drama, Ecchi, Harem, Martial Arts, Military, Romance, Sci-Fi, Seinen",TV,7.10,79298
Guilty Crown: Lost Christmas,"Action, Drama, Sci-Fi, Super Power",OVA,7.10,51604
Kagaku Ninja-tai Gatchaman,"Action, Adventure, Sci-Fi, Shounen",TV,7.10,4802
Katekyo Hitman Reborn! x ēlDLIVE Special,"Shounen, Super Power",Special,7.10,4371
Kono Danshi, Uchuujin to Tatakaemasu.,"Action, Fantasy, Shounen Ai, Super Power, Supernatural",OVA,7.10,12732
Lost Universe,"Adventure, Comedy, Drama, Sci-Fi, Shounen, Space",TV,7.10,9293
Maison Ikkoku: Prelude - Meguru Haru no Sakura no you ni...,"Comedy, Drama, Romance",Special,7.10,1672
Montana Jones,"Adventure, Comedy",TV,7.10,784
Muumin,"Adventure, Comedy, Fantasy, Slice of Life",TV,7.10,2090
Nana Recaps,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",Special,7.10,11447
Otogizoushi,"Adventure, Drama, Fantasy, Historical",TV,7.10,10591
Pokemon Advanced Generation: Rekkuu no Houmonsha Deoxys,"Action, Adventure, Comedy, Fantasy, Kids, Sci-Fi",Movie,7.10,45203
Prince of Tennis: The Band of Princes Film Kick the Future,"Action, Music",Music,7.10,3826
Ranma ½: DoCo Music Video,"Comedy, Martial Arts, Music, Slice of Life",OVA,7.10,1775
Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",TV,7.10,90713
Starship Operators,"Drama, Military, Sci-Fi, Space",TV,7.10,9704
Tenjou Tenge,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power",TV,7.10,103449
Tistou Midori no Oyayubi,"Historical, Magic",Movie,7.10,332
UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,"Comedy, Romance, Sci-Fi",TV,7.10,6249
World Destruction: Sekai Bokumetsu no Rokunin,"Adventure, Fantasy",TV,7.10,34732
Arete Hime,"Fantasy, Magic",Movie,7.09,6042
Arslan Senki (TV) OVA,"Adventure, Fantasy, Historical, Shounen",OVA,7.08,9823
Blue Seed Omake,"Comedy, Parody",Special,7.09,1952
Chicchana Yukitsukai Sugar Specials,"Comedy, Magic, Shoujo, Slice of Life",Special,7.09,3902
Chobits Recap,"Comedy, Drama, Ecchi, Romance, Sci-Fi",Special,7.09,29986
Cobra The Animation: The Psycho-Gun,"Action, Adventure, Mecha, Sci-Fi, Space",OVA,7.09,2843
Cobra The Animation: Time Drive,"Action, Adventure, Sci-Fi, Space",OVA,7.09,2155
Dai Mahou Touge,"Comedy, Magic, Supernatural",OVA,7.09,19555
Days (TV),"School, Shounen, Sports",TV,7.09,49219
Domo-kun,"Comedy, Kids, Slice of Life",TV,7.09,1167
Dragon Ball Movie 3: Makafushigi Daibouken,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Super Power",Movie,7.09,25740
Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Movie,7.09,55789
Dragonaut: The Resonance Special,"Action, Mecha, Romance, Sci-Fi, Space",Special,7.09,6311
Furusato Saisei: Nihon no Mukashibanashi,"Historical, Kids, Supernatural",TV,7.09,6820
Galaxy Angel S,"Comedy, Sci-Fi",Special,7.09,1205
Ginga Tetsudou Monogatari: Eien e no Bunkiten,"Action, Adventure, Drama, Sci-Fi, Space",TV,7.09,2072
Gokukoku no Brynhildr,"Drama, Mystery, Sci-Fi, Seinen",TV,7.09,159899
Grisaia no Rakuen Specials,"Ecchi",Special,7.09,15055
Heart Realize,"Music",Music,7.09,1626
Hitsugi no Chaika OVA,"Action, Adventure, Comedy, Fantasy, Shounen",OVA,7.09,20605
Hoshi no Oujisama Petit Prince,"Adventure",TV,7.09,736
Itsuka Tenma no Kuro Usagi OVA,"Comedy, Ecchi, Romance, Shounen, Supernatural, Vampire",OVA,7.09,13397
Jinzou Ningen Kikaider The Animation,"Action, Drama, Mecha, Sci-Fi, Shounen",TV,7.09,5881
Kaitou Joker 3rd Season,"Adventure, Comedy, Mystery, Shounen",TV,7.09,1880
Key the Metal Idol,"Action, Drama, Mecha, Music, Sci-Fi",OVA,7.09,7949
Kishin Douji Zenki,"Action, Comedy, Drama, Ecchi, Fantasy, Horror, Magic, Shounen",TV,7.09,5936
Kiss x Sis (TV),"Comedy, Ecchi, Harem, Romance, School, Seinen",TV,7.09,215361
Kodomo no Jikan Recap,"Comedy, Ecchi, School",OVA,7.09,8228
Koitabi: True Tours Nanto,"Romance",Special,7.09,7452
Korekuraide Utau,"Music",Music,7.09,1395
Kurogane no Linebarrels,"Action, Mecha, Sci-Fi",TV,7.09,30225
Lupin III: Lupin vs. Fukusei-ningen,"Action, Adventure, Comedy, Mystery, Shounen",Movie,7.09,4969
Macademi Wasshoi!,"Comedy, Ecchi, Fantasy, Romance, School, Supernatural",TV,7.09,29401
Mokke Specials,"Mystery, Slice of Life, Supernatural",Special,7.09,1331
Net Ghost Pipopa,"Action, Adventure, Comedy, Kids, Sci-Fi, Shounen",TV,7.09,913
Night Walker: Mayonaka no Tantei,"Action, Comedy, Horror, Mystery, Vampire",TV,7.09,11143
Ookami to Koushinryou II Specials,"Fantasy",Special,7.09,34903
Otogi Juushi Akazukin,"Adventure, Comedy, Fantasy",TV,7.09,3847
Sekai Meisaku Douwa: Hakuchou no Ouji,"Fantasy",Movie,7.09,809
Shinkon Gattai Godannar!! 2nd Season,"Comedy, Ecchi, Mecha, Romance, Sci-Fi",TV,7.09,4865
Sora wo Kakeru Shoujo,"Adventure, Comedy, Sci-Fi, Space",TV,7.09,17574
Suite Precure♪ Movie: Torimodose! Kokoro ga Tsunaku Kiseki no Melody♪,"Fantasy, Kids, Magic, Shoujo",Movie,7.09,2874
Tengen Toppa Gurren Lagann: Parallel Works 2,"Mecha, Music",Music,7.09,13361
Tsubasa to Hotaru,"Romance, School, Shoujo",Special,7.09,6651
Uta Kata Special,"Drama, Magic",Special,7.09,4385
Youkai Watch Movie 2: Enma Daiou to Itsutsu no Monogatari da Nyan!,"Comedy, Kids, Supernatural",Movie,7.10,560
Ace wo Nerae!,"Drama, Romance, School, Shoujo, Sports",TV,7.08,3945
Anne no Nikki,"Drama, Historical",Movie,7.08,3159
Battle Spirits: Sword Eyes,"Action, Shounen",TV,7.09,987
Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,"Romance, School, Shoujo Ai",ONA,7.08,43338
Cardfight!! Vanguard: Legion Mate-hen,"Action, Adventure, Demons, Game, Shounen",TV,7.08,5900
Cello Hiki no Gauche (1982),"Drama, Fantasy, Kids, Music",Movie,7.08,6524
Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara Picture Drama,"Comedy, Ecchi, Military",Special,7.08,2188
Dash! Yonkurou,"Action, Kids, Shounen, Sports",TV,7.08,895
Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",OVA,7.08,21043
Eureka Seven: Navigation ray=out,"Mecha, Sci-Fi",Special,7.08,8630
Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials,"Comedy, Ecchi, Magic",Special,7.08,9949
Gakkou no Kaidan: Kubinashi Rider!! Shi no Noroi,"Horror, Mystery, Supernatural",Special,7.08,2601
Hai! Akko Desu,"Romance, Slice of Life",TV,7.08,296
Hashire Melos!,"Action, Adventure, Historical",Movie,7.08,1932
IS: Infinite Stratos 2 - Hitonatsu no Omoide,"Action, Comedy, Harem, Mecha, Sci-Fi",OVA,7.08,27030
Kurozuka,"Action, Drama, Historical, Horror, Romance, Sci-Fi, Vampire",TV,7.08,52145
Lupin III: Lupin Ansatsu Shirei,"Action, Adventure, Comedy, Shounen",Special,7.08,3006
Nissan Serena x One Piece 3D: Mugiwara Chase - Sennyuu!! Sauzando Sanii-gou,"Comedy, Fantasy, Shounen",Special,7.08,5123
Pita Ten,"Comedy, Fantasy, Kids, Romance, School, Shounen",TV,7.08,16047
Saibi,"Drama, Psychological, Thriller",Movie,7.08,1747
Sekai Meisaku Douwa: Mori wa Ikiteiru,"Fantasy, Kids",Movie,7.08,926
Shin Tenchi Muyou! Specials,"Comedy, Romance, Sci-Fi, Shounen",Special,7.08,2233
Starmyu,"Music, School, Slice of Life",TV,7.08,21032
Starmyu OVA,"Music, School, Slice of Life",OVA,7.08,2447
Stratos 4 Advance Kanketsu-hen,"Comedy, Military, Sci-Fi",OVA,7.08,1876
Sumomomo Momomo: Chijou Saikyou no Yome,"Comedy, Martial Arts, Romance",TV,7.08,31385
Sumomomo Momomo: Chijou Saikyou no Yome Specials,"Comedy, Ecchi, Martial Arts, Romance",Special,7.08,7082
Touch: Sebangou no Nai Ace,"Drama, Romance, Sports",Movie,7.08,1109
Urusei Yatsura Movie 6: Itsudatte My Darling,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Movie,7.08,2553
Yomigaeru Sora: Rescue Wings Special,"Drama, Military, Seinen",Special,7.08,1843
Yumekui Merry,"Action, Shounen, Supernatural",TV,7.08,89183
Battle Programmer Shirase,"Comedy, Ecchi, Sci-Fi",TV,7.07,22292
Black★Rock Shooter (TV),"Action, Drama, School, Slice of Life",TV,7.07,198991
Blassreiter,"Action, Sci-Fi",TV,7.07,55444
Buddy Complex: Daremo Shiranai Ashita e,"Action, Mecha, Sci-Fi",ONA,7.07,987
Cardfight!! Vanguard G: GIRS Crisis-hen,"Action, Game, Shounen",TV,7.07,3060
Carnival Phantasm: Illya-jou,"Comedy, Parody",Special,7.07,19277
Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,"Comedy, Ecchi, Kids, School, Shounen, Slice of Life",Movie,7.07,1999
Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen,"Comedy, Ecchi, Kids, School, Shounen, Slice of Life",Movie,7.07,1346
Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,"Adventure, Fantasy, Martial Arts, Sci-Fi, Shounen, Super Power",OVA,7.07,15280
Gate Keepers,"Action, Comedy, Fantasy, Mecha, Sci-Fi, Shounen",TV,7.07,14582
Gegege no Kitarou (2007),"Comedy, Fantasy, Horror",TV,7.07,1656
Getter Robo,"Action, Mecha, Sci-Fi, Shounen",TV,7.07,2938
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D - Tachikoma no Hibi,"Comedy, Mecha, Sci-Fi",Special,7.07,3121
Goal FH: Field Hunter,"Action, Sports",TV,7.07,737
Gundam Build Fighters Try: Island Wars,"Action, Mecha, Sci-Fi",OVA,7.07,3569
Ie Naki Ko Remi Specials (2001),"Adventure, Drama, Slice of Life",Special,7.07,313
Kimikiss Pure Rouge Special,"Romance, School",Special,7.07,9144
Koukou Butouden Crows,"Action, School, Shounen",OVA,7.07,1509
Kyou no 5 no 2 Kagai Jugyou: Mizukake,"Comedy, Ecchi, School, Seinen",Special,7.07,4623
Macross 7 Encore,"Action, Comedy, Drama, Mecha, Music, Sci-Fi, Shounen",OVA,7.07,5616
Mahoromatic End Year Special,"Comedy, Ecchi, Military, Romance, Sci-Fi",Special,7.07,4783
Miyori no Mori,"Drama, Fantasy, Slice of Life",Special,7.07,6273
Overlord: Ple Ple Pleiades,"Action, Comedy, Fantasy, Magic",Special,7.07,25625
Saikyou Bushouden: Sangoku Engi,"Historical",TV,7.07,1363
Saint Seiya: Saishuu Seisen no Senshi-tachi,"Adventure, Sci-Fi, Shounen",Movie,7.07,8217
Shin Maple Town Monogatari: Palm Town-hen,"Fantasy, Slice of Life",TV,7.07,589
Shinzou Ningen Casshern,"Action",TV,7.07,2822
Super Fishing Grander Musashi,"Adventure, Sports",TV,7.07,1920
Tatsu no Ko Tarou,"Adventure, Demons, Fantasy, Historical",Movie,7.07,1850
Tokumu Sentai Shinesman,"Action, Comedy, Sci-Fi",OVA,7.07,1588
Touhou Niji Sousaku Doujin Anime: Musou Kakyou,"Fantasy, Magic",OVA,7.07,18305
YAT Anshin! Uchuu Ryokou 2,"Adventure, Comedy, Sci-Fi, Shounen",TV,7.07,486
Yu☆Gi☆Oh! Zexal Second,"Action, Fantasy, Game, Shounen",TV,7.07,11293
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,"Comedy, Ecchi, Fantasy, Romance",TV,7.07,115338
.hack//Roots,"Adventure, Drama, Fantasy, Game, Sci-Fi",TV,7.06,50480
A-Channel,"Comedy, School, Seinen, Slice of Life",TV,7.06,58564
Beet the Vandel Buster,"Adventure, Fantasy, Shounen, Supernatural",TV,7.06,9848
Cardfight!! Vanguard: Asia Circuit-hen,"Action, Adventure, Demons, Game, Shounen",TV,7.06,11031
Children Record,"Music",Music,7.06,745
Devil Survivor 2 The Animation,"Action, Demons, Supernatural",TV,7.06,101266
Dominion,"Comedy, Mecha, Police, Sci-Fi",OVA,7.06,7850
Fractale,"Adventure, Fantasy, Sci-Fi",TV,7.06,55100
gdgd Fairies,"Comedy",TV,7.06,2284
Gegege no Kitarou (1968),"Adventure, Comedy, Fantasy, Horror, Supernatural",TV,7.06,1276
Genki Bakuhatsu Ganbaruger,"Mecha, Shounen",TV,7.06,367
Gokujou Seitokai,"Comedy, School, Slice of Life",TV,7.06,12234
Hyper Police,"Action, Comedy, Police, Romance, Sci-Fi",TV,7.06,4973
Katte ni Kaizou,"Comedy, Parody, School, Sci-Fi, Shounen",OVA,7.06,19904
Kaze to Ki no Uta Sanctus: Sei Naru Kana,"Drama, Historical, Romance, Shoujo, Shounen Ai",OVA,7.06,6105
Kinnikuman: Kinnikusei Oui Soudatsu-hen,"Action, Comedy, Shounen, Sports",TV,7.06,676
Lupin III: Kiri no Elusive,"Action, Adventure, Comedy, Shounen",Special,7.06,2693
Mai-HiME Specials,"Comedy",Special,7.06,9210
Maria†Holic Alive,"Comedy, Parody, School, Shoujo Ai",TV,7.06,40502
Monkey King: Hero Is Back,"Adventure, Fantasy, Historical, Martial Arts, Supernatural",Movie,7.08,499
Namiuchigiwa no Muromi-san,"Comedy, Fantasy, Slice of Life",TV,7.06,25564
Natsu-iro Kiseki,"School, Slice of Life, Supernatural",TV,7.06,26883
New Dominion Tank Police,"Comedy, Mecha, Police, Sci-Fi, Shounen",OVA,7.06,5062
Nirvana,"Music",Music,7.06,1760
Rinne no Lagrange Season 2,"Action, Comedy, Mecha, Sci-Fi",TV,7.06,19427
Rockman.EXE,"Action, Adventure, Comedy, Game, Mecha, Sci-Fi, Shounen",TV,7.06,19212
Scryed Alteration II: Quan,"Action, Adventure, Sci-Fi, Shounen, Super Power",Movie,7.06,2438
Shingeki! Kyojin Chuugakkou,"Comedy, Parody, School, Shounen",TV,7.06,52928
Shinmai Maou no Testament Burst Specials,"Comedy, Demons, Ecchi",Special,7.06,3495
Shouwa Monogatari,"Drama, Historical",TV,7.06,3563
Sola Specials,"Comedy, Romance, Slice of Life, Supernatural",Special,7.06,12223
The iDOLM@STER Cinderella Girls 2nd Anniversary PV,"Music",Music,7.06,2408
Zettai Muteki Raijin-Oh,"Adventure, Mecha, School, Sci-Fi, Shounen",TV,7.06,592
Zettai Shounen,"Drama, Fantasy, Mystery, Sci-Fi, Shounen",TV,7.06,11165
Zombie-Loan,"Action, Horror, Shounen, Supernatural",TV,7.06,93637
A-Channel: +A-Channel,"Comedy, School, Seinen, Slice of Life",Special,7.05,12631
Ai no Senshi Rainbowman,"Action, Adventure, Mecha, Sci-Fi",TV,7.05,524
Animation Seisaku Shinkou Kuromi-chan 2,"Comedy, Drama, Parody",OVA,7.05,3841
Bleach: The Sealed Sword Frenzy,"Adventure, Comedy, Drama, Fantasy, Shounen, Supernatural",Special,7.05,73241
CB Chara Go Nagai World,"Action, Comedy, Parody",OVA,7.05,989
CLAMP Gakuen Tanteidan,"Action, Comedy, Mystery",TV,7.05,7830
Code Geass: Hangyaku no Lelouch - Kiseki no Birthday Picture Drama,"School, Supernatural",Special,7.05,18422
Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!,"Comedy, Ecchi, Kids, School",Movie,7.05,1051
D.C.II: Da Capo II,"Drama, Ecchi, Romance, School",TV,7.05,25225
Dragon Ball Movie 1: Shen Long no Densetsu,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Movie,7.05,30279
Dragon Ball Z: Summer Vacation Special,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",Special,7.05,4251
Dragon Half,"Comedy, Fantasy, Parody",OVA,7.05,11596
Hakaima Sadamitsu,"Action, Mecha, School, Sci-Fi, Seinen",TV,7.05,3300
Heisei Inu Monogatari Bow,"Adventure, Comedy",TV,7.05,428
Ikkyuu-san,"Comedy, Historical, Kids",TV,7.05,720
Kannazuki no Miko,"Drama, Magic, Mecha, Romance, Shoujo Ai, Shounen, Supernatural",TV,7.05,42927
Kimi ga Nozomu Eien: Next Season,"Drama, Romance",OVA,7.05,21064
Live On Cardliver Kakeru,"Fantasy, Game",TV,7.05,528
Macross 7 Movie: Ginga ga Ore wo Yondeiru!,"Action, Adventure, Comedy, Drama, Mecha, Music, Sci-Fi, Shounen",Movie,7.05,5270
Mashin Eiyuuden Wataru 2,"Adventure, Comedy, Mecha",TV,7.05,492
Minami no Niji no Lucy,"Adventure, Drama, Slice of Life",TV,7.05,742
Onegai☆Twins,"Comedy, Drama, Harem, School, Sci-Fi",TV,7.05,59164
Ore no Imouto ga Konnani Kawaii Wake ga Nai.: SD Chara ni Yoru Short Movie,"Comedy",Special,7.05,6311
Pokemon: Celebi Toki wo Koeta Deai,"Adventure, Comedy, Drama, Fantasy, Kids",Movie,7.05,58359
Queen Emeraldas,"Action, Adventure, Sci-Fi",OVA,7.05,3279
Renkin San-kyuu Magical? Pokaan Specials,"Comedy, Ecchi, Magic, Parody, Vampire",Special,7.05,4684
Ro-Kyu-Bu!,"Comedy, Ecchi, School, Sports",TV,7.05,46940
Saint Seiya: Jashin Eris,"Adventure, Sci-Fi, Shounen",Movie,7.05,10277
Shinigami no Ballad.,"Drama, Fantasy, Psychological, Supernatural",TV,7.05,32297
Stranger: Mukou Hadan Pilot,"Action, Adventure, Historical, Samurai, Seinen",Special,7.05,4741
Taimadou Gakuen 35 Shiken Shoutai,"Action, Ecchi, Fantasy, Harem, Military, Romance, Supernatural",TV,7.05,99133
Tantei Opera Milky Holmes: Summer Special,"Comedy, Mystery, Super Power",Special,7.05,5050
Tell Your World,"Music",Music,7.05,2630
To Heart 2 OVA,"Comedy, Drama, Harem, Romance, School",OVA,7.05,4754
Touhou Niji Sousaku Doujin Anime: Musou Kakyou Special,"Fantasy, Magic",OVA,7.05,2540
Tribe Cool Crew,"Music, School",TV,7.05,3334
Tsuyoshi Shikkari Shinasai,"Comedy, Drama, Romance, School, Shounen, Slice of Life",TV,7.05,550
Yu☆Gi☆Oh! (1999),"Adventure, Comedy, Fantasy, Game, Shounen",Movie,7.05,26934
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,"Comedy, Magic, Supernatural",TV,7.04,15937
Ai Yori Aoshi: Enishi - Miyuki,"Comedy, Drama, Romance",Special,7.04,12647
Amatsuki,"Action, Fantasy, Historical, Shoujo, Supernatural",TV,7.04,41920
Animal Yokochou,"Adventure, Comedy, Fantasy, Shoujo",TV,7.04,1511
Animation Seisaku Shinkou Kuromi-chan,"Comedy, Drama, Parody",OVA,7.04,5794
Candy Boy Episode: EX01 - Mirai Yohouzu,"School, Shoujo Ai, Slice of Life",OVA,7.04,16405
Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Daisuugeki,"Comedy, Kids, Shounen",Movie,7.04,478
Daitoshokan no Hitsujikai,"Harem, Romance, School",TV,7.04,46874
Digimon Xros Wars,"Action, Adventure, Comedy, Fantasy, Shounen",TV,7.04,22723
Etotama,"Action, Comedy, Fantasy",TV,7.04,36463
Genji Monogatari Sennenki,"Drama, Historical, Romance",TV,7.04,8554
Gintama x Mameshiba,"Comedy, Parody",Special,7.04,5566
Girls und Panzer: Fushou - Akiyama Yukari no Sensha Kouza,"Military, School",Special,7.04,5867
Hare Tokidoki Buta (TV),"Comedy",TV,7.04,607
Hi no Tori: Yamato-hen,"Drama, Historical",OVA,7.04,1069
Hoshizora e Kakaru Hashi,"Comedy, Ecchi, Harem, Romance, School",TV,7.04,85178
Kantai Collection: KanColle,"Action, Military, School, Sci-Fi, Slice of Life",TV,7.04,100999
Kindaichi Shounen no Jikenbo Returns 2nd Season: Akechi Keibu no Jikenbo,"Mystery, Shounen",Special,7.04,625
Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,"Mystery, Shounen",OVA,7.04,782
Kogepan,"Comedy",TV,7.04,4436
Kowarekake no Orgel Special,"Drama, Music, Sci-Fi, Seinen, Slice of Life",Special,7.04,7198
Macross Flash Back 2012,"Drama, Mecha, Military, Sci-Fi",OVA,7.04,5199
Mahoutsukai Precure!,"Action, Fantasy, Magic, School, Shoujo, Slice of Life",TV,7.04,3865
Manie-Manie: Meikyuu Monogatari,"Adventure, Fantasy, Horror, Sci-Fi, Supernatural",Movie,7.04,9568
Mobile Suit Gundam MS IGLOO 2: Gravity of the Battlefront,"Mecha, Sci-Fi",OVA,7.04,6864
Nisekoimonogatari,"Music",ONA,7.04,17116
Ojamajo Doremi OVA,"Kids, Magic",OVA,7.04,799
Okusama ga Seitokaichou!: Okusama Gekijou,"Comedy, Shounen",Special,7.04,4250
One Piece Film: Gold Episode 0 - 711 ver.,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Special,7.04,4166
Pokemon Best Wishes! Season 2: Episode N,"Action, Adventure, Comedy, Fantasy, Kids",TV,7.04,13647
Pokemon Crystal: Raikou Ikazuchi no Densetsu,"Action, Adventure, Comedy, Fantasy, Kids",Special,7.04,13929
Pokemon: Pikachu to Eevee Friends,"Adventure, Comedy, Fantasy, Kids",Movie,7.04,3849
Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,"Action, Comedy, Fantasy, Magic, Music, Shoujo",Movie,7.04,699
Prince of Stride: Alternative,"Sports",TV,7.04,79630
Prince of Tennis: Oshougatsu Special,"Action, Comedy, Shounen, Sports",Special,7.04,5000
Shin Hokuto no Ken,"Action, Martial Arts, Sci-Fi, Shounen",OVA,7.04,6426
Shisha no Teikoku,"Historical, Psychological, Sci-Fi",Movie,7.04,31182
Tantei Opera Milky Holmes,"Comedy, Mystery, Super Power",TV,7.04,28812
Tetsujin 28-gou (1980),"Action, Mecha",TV,7.04,821
The☆Doraemons: The Mysterious Thief Dorapan The Mysterious Cartel,"Comedy, Fantasy, Kids, Sci-Fi, Shounen",Movie,7.04,621
To Heart 2 AD,"Comedy, Ecchi, Romance",OVA,7.04,4412
Tokyo Mew Mew,"Adventure, Comedy, Fantasy, Magic, Romance, Sci-Fi, Shoujo, Supernatural",TV,7.04,67936
Uchuu Senkan Yamato (Movie),"Drama, Military, Sci-Fi, Space",Movie,7.04,2154
Vampire Knight: Gekiai no Portrait,"Comedy, Shoujo, Vampire",Special,7.04,23727
Vexille: 2077 Nihon Sakoku,"Action, Military, Sci-Fi",Movie,7.04,14754
Wake Up, Girls!,"Drama, Music",TV,7.04,29679
