name,genre,type,rating,members
Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,8.36,282002
Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",TV,8.36,67032
Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,8.36,71820
Major: Message,"Comedy, Drama, Sports",OVA,8.36,12282
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,8.36,27532
SKET Dance,"Comedy, School, Shounen",TV,8.36,101027
Bakuman.,"Comedy, Romance, Shounen",TV,8.35,246899
Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,8.35,258914
Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,8.35,189741
Major S4,"Comedy, Drama, Shounen, Sports",TV,8.35,28002
Omoide no Marnie,"Drama, Mystery, Psychological",Movie,8.35,53590
Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",Special,8.34,31856
Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,8.34,223036
K-On! Movie,"Comedy, Music, Slice of Life",Movie,8.34,115252
Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports",Special,8.34,22900
Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,8.34,58492
xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,8.34,74941
Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,8.33,65594
Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,8.33,383914
Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,8.33,600384
Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller",TV,8.33,98996
Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power",OVA,8.33,57029
Redline,"Action, Cars, Sci-Fi, Sports",Movie,8.33,109392
Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,8.32,158561
Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",Movie,8.32,6229
Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,8.32,375662
Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,8.32,106382
Kokoro ga Sakebitagatterunda.,"Drama, Romance, School",Movie,8.32,59652
Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,8.32,94435
Nagi no Asukara,"Drama, Fantasy, Romance",TV,8.32,224947
Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,8.32,461946
One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,8.32,18642
Tokyo Godfathers,"Comedy, Drama",Movie,8.32,89424
Trigun,"Action, Comedy, Sci-Fi",TV,8.32,283069
xxxHOLiC Rou,"Mystery, Supernatural",OVA,8.32,36353
Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,8.31,14002
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,8.31,88164
Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,8.31,69253
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",TV,8.31,222994
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"Comedy, Romance, School",OVA,8.31,35120
Aria The Natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,8.30,39596
Black Lagoon: The Second Barrage,"Action, Seinen",TV,8.30,203233
Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,8.30,566690
Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,8.30,142612
Summer Wars,"Comedy, Sci-Fi",Movie,8.30,223359
Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,8.29,100412
Detective Conan Movie 14: The Lost Ship in the Sky,"Action, Mystery, Police, Shounen",Movie,8.29,20602
Gyakkyou Burai Kaiji: Hakairoku-hen,"Game, Psychological, Seinen, Thriller",TV,8.29,55566
Initial D Final Stage,"Cars, Seinen, Sports",TV,8.29,19702
Kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,8.29,56927
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,8.29,17247
Saiki Kusuo no Ψ-nan (TV),"Comedy, School, Shounen, Supernatural",TV,8.29,47092
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,8.28,60637
Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports",OVA,8.28,40623
Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,8.28,91796
Skip Beat!,"Comedy, Drama, Romance, Shoujo",TV,8.28,134818
Yowamushi Pedal: Grande Road,"Comedy, Drama, Shounen, Sports",TV,8.28,50778
Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,8.27,103828
Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,8.27,152331
Nodame Cantabile: Paris-hen,"Comedy, Josei, Music, Romance, Slice of Life",TV,8.27,70822
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,8.27,24707
Osomatsu-san,"Comedy, Parody",TV,8.27,60988
Space☆Dandy 2nd Season,"Comedy, Sci-Fi, Space",TV,8.27,60918
Tsumiki no Ie,"Drama",Movie,8.27,45189
Detroit Metal City,"Comedy, Music",OVA,8.26,104893
Eve no Jikan,"Sci-Fi, Slice of Life",ONA,8.26,99074
Eve no Jikan (Movie),"Sci-Fi, Slice of Life",Movie,8.26,66376
Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,8.26,391628
Saint Seiya: Meiou Hades Juuni Kyuu-hen,"Adventure, Sci-Fi, Shounen",OVA,8.26,23701
Zankyou no Terror,"Psychological, Thriller",TV,8.26,342893
Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,8.25,440334
Detective Conan,"Adventure, Comedy, Mystery, Police, Shounen",TV,8.25,114702
Detective Conan Movie 05: Countdown to Heaven,"Adventure, Comedy, Mystery, Police, Shounen",Movie,8.25,25432
Diamond no Ace,"Comedy, School, Shounen, Sports",TV,8.25,81384
Fairy Tail (2014),"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,8.25,255076
Hibike! Euphonium 2,"Drama, Music, School",TV,8.25,47716
JoJo no Kimyou na Bouken: Stardust Crusaders,"Action, Adventure, Drama, Shounen, Supernatural",TV,8.25,120089
Maison Ikkoku,"Comedy, Drama, Romance, Slice of Life",TV,8.25,22079
Non Non Biyori Repeat,"Comedy, School, Seinen, Slice of Life",TV,8.26,64230
Shijou Saikyou no Deshi Kenichi,"Action, Comedy, Martial Arts, School, Shounen",TV,8.25,129112
Yuusha-Ou GaoGaiGar Final,"Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,8.25,5001
Gekkan Shoujo Nozaki-kun,"Comedy, Romance, School",TV,8.24,292622
Initial D Fourth Stage,"Action, Cars, Drama, Seinen, Sports",TV,8.24,41584
Junjou Romantica 2,"Comedy, Drama, Romance, Shounen Ai",TV,8.24,87617
Kaze Tachinu,"Drama, Historical, Romance",Movie,8.24,75359
Kingdom,"Action, Historical, Military, Seinen",TV,8.24,54211
Kuragehime,"Comedy, Josei, Slice of Life",TV,8.24,108053
Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,8.24,317513
Mobile Suit Gundam 00,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,8.24,120351
ReLIFE,"Romance, School, Slice of Life",TV,8.24,202249
Saint Seiya: The Lost Canvas - Meiou Shinwa,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,8.24,40355
Seirei no Moribito,"Action, Adventure, Fantasy, Historical",TV,8.24,106888
Akatsuki no Yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,8.23,216674
Detective Conan Movie 08: Magician of the Silver Sky,"Adventure, Comedy, Mystery, Police, Shounen",Movie,8.23,23130
Durarara!!x2 Ketsu,"Action, Mystery, Supernatural",TV,8.23,115295
Free!: Eternal Summer Special,"Comedy, School, Slice of Life",Special,8.23,36091
Glass no Kamen (2005),"Drama, Shoujo",TV,8.23,17038
Gosick,"Drama, Historical, Mystery, Romance",TV,8.23,232113
Hajime no Ippo: Boxer no Kobushi,"Comedy, Drama, Shounen, Sports",Special,8.23,20157
Initial D First Stage,"Action, Cars, Drama, Seinen, Sports",TV,8.23,68128
Kill la Kill,"Action, Comedy, School, Super Power",TV,8.23,508118
Lovely★Complex,"Comedy, Romance, Shoujo",TV,8.23,235003
Perfect Blue,"Dementia, Drama, Horror, Psychological",Movie,8.23,117565
Princess Tutu,"Comedy, Fantasy, Magic, Romance",TV,8.23,73218
Sakasama no Patema,"Sci-Fi, Seinen",Movie,8.23,89749
Tsubasa: Shunraiki,"Action, Adventure, Drama, Fantasy, Magic, Mystery, Romance, Shounen, Supernatural",OVA,8.23,40420
Ashita no Joe,"Drama, Sports",TV,8.22,15442
Fairy Tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,8.22,584590
Ghost in the Shell: Stand Alone Complex - Solid State Society,"Mecha, Military, Mystery, Police, Sci-Fi, Seinen",Special,8.22,55247
Magi: Sinbad no Bouken (TV),"Action, Adventure, Fantasy, Magic, Shounen",TV,8.22,73480
Shoujo Kakumei Utena,"Drama, Fantasy, Psychological, Shoujo",TV,8.22,77464
Tengen Toppa Gurren Lagann Movie: Gurren-hen,"Action, Comedy, Mecha",Movie,8.22,72933
Detective Conan Movie 10: Requiem of the Detectives,"Adventure, Comedy, Mystery, Police, Shounen",Movie,8.21,21789
Evangelion: 1.0 You Are (Not) Alone,"Action, Mecha, Sci-Fi",Movie,8.21,194561
Full Metal Panic? Fumoffu,"Action, Comedy, School",TV,8.21,171086
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,"Action, Drama, Military, Sci-Fi, Space",Movie,8.21,11808
Kara no Kyoukai 3: Tsuukaku Zanryuu,"Action, Drama, Mystery, Supernatural, Thriller",Movie,8.21,108720
Mobile Suit Gundam 00 Second Season,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,8.21,86972
Nisemonogatari,"Comedy, Mystery, Supernatural",TV,8.21,260062
Tsukimonogatari,"Comedy, Mystery, Supernatural",TV,8.21,111009
Ansatsu Kyoushitsu (TV),"Action, Comedy, School, Shounen",TV,8.20,312654
Aria The Avvenire,"Fantasy, Sci-Fi, Shounen, Slice of Life",Special,8.20,9500
Baby Steps 2nd Season,"Romance, School, Shounen, Sports",TV,8.20,36251
